threshold,precision,recall,f1
0.5,0.6389776357827476,0.7905138339920948,0.7067137809187278
0.51,0.6437908496732027,0.7786561264822134,0.704830053667263
0.52,0.6456953642384106,0.7707509881422925,0.7027027027027027
0.53,0.6527777777777778,0.7430830039525692,0.6950092421441775
0.54,0.644927536231884,0.7035573122529645,0.6729678638941399
0.55,0.6415094339622641,0.6719367588932806,0.6563706563706564
0.56,0.6486486486486487,0.6640316205533597,0.65625
0.5700000000000001,0.6546184738955824,0.6442687747035574,0.6494023904382471
0.58,0.6694560669456067,0.6324110671936759,0.6504065040650407
0.59,0.6781115879828327,0.6245059288537549,0.6502057613168725
0.6,0.6844444444444444,0.6086956521739131,0.6443514644351465
0.61,0.6834862385321101,0.5889328063241107,0.6326963906581742
0.62,0.6824644549763034,0.5691699604743083,0.6206896551724138
0.63,0.6748768472906403,0.541501976284585,0.6008771929824561
0.64,0.6683937823834197,0.5098814229249012,0.5784753363228701
0.65,0.6720430107526881,0.49407114624505927,0.5694760820045558
0.66,0.6647727272727273,0.4624505928853755,0.5454545454545454
0.67,0.6686390532544378,0.44664031620553357,0.5355450236966824
0.68,0.6707317073170732,0.43478260869565216,0.5275779376498801
0.6900000000000001,0.6729559748427673,0.42292490118577075,0.5194174757281553
0.7000000000000001,0.6797385620915033,0.41106719367588934,0.5123152709359606
0.71,0.6934306569343066,0.37549407114624506,0.4871794871794873
0.72,0.6976744186046512,0.3557312252964427,0.4712041884816754
0.73,0.7024793388429752,0.3359683794466403,0.4545454545454546
0.74,0.7027027027027027,0.308300395256917,0.42857142857142866
0.75,0.72,0.2845849802371542,0.40793201133144485
0.76,0.7391304347826086,0.26877470355731226,0.3942028985507246
0.77,0.7586206896551724,0.2608695652173913,0.388235294117647
0.78,0.7435897435897436,0.22924901185770752,0.35045317220543803
0.79,0.7681159420289855,0.20948616600790515,0.32919254658385094
0.8,0.7543859649122807,0.16996047430830039,0.27741935483870966
0.81,0.7346938775510204,0.1422924901185771,0.23841059602649012
0.8200000000000001,0.7111111111111111,0.12648221343873517,0.2147651006711409
0.8300000000000001,0.7368421052631579,0.11067193675889328,0.1924398625429553
0.84,0.7352941176470589,0.09881422924901186,0.17421602787456447
0.85,0.7586206896551724,0.08695652173913043,0.15602836879432624
0.86,0.8636363636363636,0.07509881422924901,0.13818181818181816
0.87,0.8421052631578947,0.06324110671936758,0.1176470588235294
0.88,0.8333333333333334,0.05928853754940711,0.11070110701107011
0.89,0.875,0.05533596837944664,0.104089219330855
0.9,0.8888888888888888,0.03162055335968379,0.061068702290076333
0.91,0.8333333333333334,0.019762845849802372,0.03861003861003861
0.92,0.8,0.015810276679841896,0.031007751937984492
0.93,0.6666666666666666,0.007905138339920948,0.015625
0.9400000000000001,0.5,0.003952569169960474,0.00784313725490196
0.9500000000000001,0.5,0.003952569169960474,0.00784313725490196
0.96,0.5,0.003952569169960474,0.00784313725490196
0.97,0.0,0.0,0.0
0.98,0.0,0.0,0.0
0.99,0.0,0.0,0.0
1.0,0.0,0.0,0.0
